Sentences,Categorie
He catches the train every morning.,2
My sister works at the theater.,2
Michael doesn’t work.,2
How often do you see George?,2
She doesn’t see Peter every day.,2
My boyfriend loves this song.,2
My father doesn’t speak good English.,2
He goes to football every day.,2
California is not in the United Kingdom.,2
The Queen of England lives in Buckingham Palace.,2
Julie talks very fast.,2
My brother’s dog barks a lot.,2
Does he play tennis?,2
The train leaves every morningat 18 AM.,2
Water freezes at 0°C,2
I love my new pets.,2
We drink coffee every morning.,2
My Dad never works on the weekends.,2
She doesn’t teach chemistry.,2
I do love my new pets.,2
Mary brushes her teeth twice a day.,2
He drives to work.,2
Mary enjoys cooking.,2
She likes bananas.,2
You don’t listen to me.,2
I run four miles every morning.,2
They speak English at work.,2
The train does not leave at 12 AM.,2
I have no money at the moment.,2
Do they talk a lot ?,2
Tomorrow early morning first I go to morning walk.,2
Does she drink coffee?,2
You run to the party.,2
You have some schoolwork to do.,2
Do you eat ice cream?,2
The train leaves in ten minutes.,2
Do pigs like milk?,2
California is in America.,2
Penguins live in the Antarctica.,2
Nurses work in clinics and hospitals.,2
Alex works for 7 hours every day.,2
I do not like meat.,2
They go to a gallery every Saturday.,2
My sister has already made a big cake.,2
You have grown since the last time I saw you.,2
It hasn’t drunk the water.,2
I have seen that movie.,2
We haven’t received any mail since we were retired.,2
They haven’t gone to the shopping center.,2
"Have they played the piano? No, they haven’t.",2
I have known Michael since high school.,2
My baby has slept since all night.,2
I have never been to Texas.,2
They have bought a new car.,2
I have studied at home for one hour.,2
There has been an accident.,2
People have not traveled to Venus.,2
Alex has studied two foreign languages.,2
She has learned to speak Spanish.,2
She has gone to the library.,2
I will give a speech in the program.,3
Robert will be going to the varsity.,3
Tom will have reached the place by now.,3
I will be singing modern songs in the program.,3
I will help you to do the project.,3
Alice will assist you in this case.,3
We will have reached home before you come.,3
Robin will come to our place.,3
Alana will sing country songs in the program.,3
Bob will write a poem.,3
Ben will do the assignment.,3
Henry will be traveling to Italy in March.,3
I will meet you in the evening.,3
We will watch a movie this Friday.,3
Patrick will have been cooking the meal before you reach home.,3
Dona will prepare the dessert.,3
They will arrange a party at their home.,3
Tom will be upset after hearing this.,3
Aric will have gone to meet his cousin before he comes here.,3
I will perform the role of heroin in the play.,3
I will be writing articles on different topics.,3
Robert will be reading various kinds of books.,3
They will be playing football in that field.,3
April will be having coffee in this coffee shop.,3
Bob will be going to the library.,3
We will be shopping in that market this Monday.,3
We will be watching a movie in this Cineplex on next Friday.,3
You will be shopping at that market tomorrow.,3
"I will be singing different kinds of songs, especially modern.",3
I will be attending a program of my varsity on Friday.,3
Jeff will be traveling around the world in March.,3
They will be playing hockey in that field on Thursday.,3
The poet will be writing a romantic poem for the program.,3
The lyricist will be writing a realistic song for the film.,3
Will you be going to the concert of realistic songs?,3
I will not be attending the program because of my busy schedule.,3
Robin will be joining us at the meeting.,3
I will be helping him to do the task.,3
We will be going to enjoy the musical drama.,3
I will be arranging all the necessary materials for the program.,3
I will have written articles on different topics before you come.,3
Robert will have read various kinds of books.,3
They will have played football in that field before you reach.,3
April will have gone to the coffee shop before she comes here.,3
Bob will have gone to the library before he comes to the class.,3
We will have shopped in that market before you come home.,3
We will have watched a movie in this Cineplex before you come.,3
You will have shopped at that market before we come.,3
I will have sung different kinds of songs before you join us.,3
I will have attended the program before I come here.,3
Jeff will have traveled around the world before he comes to Bangladesh.,3
They will have played hockey in that field before you reach.,3
The poet will have written a romantic poem before the program starts.,3
The lyricist will have written a realistic song for the film.,3
Will you have gone to the concert of the realistic songs before I come?,3
I will not have attended the program because of my busy schedule.,3
Robin will have joined us at the meeting before you reach.,3
I will have helped him to do the task before the class starts.,3
We will have enjoyed the musical drama before the game show starts.,3
I will have arranged all the necessary materials before the program starts.,3
I will have been written articles on different topics before you come.,3
Robert will have been reading various kinds of books on this topic.,3
They will have been playing football in that field before you reach.,3
April will have been gossiping in the coffee shop before she comes here.,3
Bob will have been studying in the library before he comes to the class.,3
We will have been shopping in that market before you come home.,3
We will have been watching a movie in the Cineplex before you come.,3
You will have been shopping in that market before we come.,3
I will have been singing different kinds of songs before you join us.,3
I will have been attending the program before I come here.,3
Jeff will have been traveling around the world before he comes to Bangladesh.,3
They will have been playing hockey in that field before you reach.,3
The poet will have been writing a romantic poem before the program starts.,3
The lyricist will have been writing a realistic song for the film.,3
Will you have been going to the concert of the realistic songs before I come?,3
I will not have been attending the program before I finish this job.,3
Robin will have been joining us at the meeting before you reach.,3
I will have been helping him to do the task before the class starts.,3
We will have been enjoying the musical drama before the game show starts.,3
I will have been arranging all the necessary materials before the program starts.,3
Navya will write a song for the sectionals.,3
Katherine will be coming home for the holidays.,3
Bharath will have left work by now.,3
Will he be studying for tomorrow’s exam?,3
They will not have performed at the concert.,3
"Will you think over, and let me know?",3
I shall write an essay.,3
Ben will sing a good song.,3
I shall work hard to obtain good marks.,3
My father will go to California. ,3
He will become a good person.,3
We shall go to school along.,3
you will remember our whole life.,3
John will play football tomorrow.,3
My mother will cook delicious food.,3
Dona will buy a new mobile next month.,3
They will sleep in the afternoon.,3
"Next year, I will live in London.",3
I will return her book.,3
We will win the match today.,3
"Tomorrow, We shall go to the barber.",3
They will stay outside.,3
She will come to the party.,3
Lots of people will go on vacation this summer.,3
"Next year, I will buy a new car.",3
"Today, I will watch a movie.",3
Boys will have played tennis by then.,3
She will have studied hard during the exam.,3
We will have written a letter.,3
He will have run two kilometers.,3
They will have scored a good mark in the exam.,3
She will have cleaned their house.,3
Bob will have eaten all the cookies.,3
Dad will not have gone to London next week.,3
I will have drunk water.,3
He will have applied for the next job in London.,3
I will not have spent so much money on clothes.,3
She will have lost all the mail tomorrow.,3
He will have become the best YouTuber next year.,3
He will have lost all money in three days.,3
She will have bought all the equipment.,3
I will not have done all the work.,3
We will have learned all the lessons.,3
They will have woken early in the morning.,3
We will have won all the matches.,3
She will have sung a song in the classroom.,3
They will be cooking food at this time.,3
I will be going to the office at 8 am tomorrow.,3
He will be playing video games on Sunday.,3
John will be writing a letter to her sister.,3
We will be swimming when you return.,3
She will be doing a great job.,3
She will be singing at home.,3
We will be eating outside on Saturday.,3
They will be going home.,3
Ben will be losing weight.,3
I will be buying a new iPhone.,3
The teacher will be teaching in a class.,3
He will be studying hard during the exam.,3
I will be talking with my best friend.,3
She will be watching a lot of videos.,3
Mom will be cleaning my house this time.,3
They will be traveling by airplane.,3
He will be trying to learn the french language.,3
They will be working in the office.,3
He will be learning a new skill.,3
She will have been shopping for the whole day.,3
I will have been starting my startup since 2025.,3
She will have been learning to drive a scooter for one hour.,3
He will not have been going to the airport before 10 o’clock.,3
We will have been working on this project since January.,3
I will not have been laughing at him for the whole day.,3
He will have been singing for the rest of the time.,3
We will have been swimming in the resort’s swimming pool for three hours.,3
Sam will have been removing the waste from the backyard tomorrow.,3
We will have been conducting a surprise test today.,3
Rosy will not have been studying for her upcoming semester.,3
Will he have been enjoying outside for three months?,3
He will have been reading the newspaper since this morning.,3
Will I have been going to work in the office?,3
He will have been complaining to the plumber about this leakage problem?,3
Will she have been eating dinner when I enter the room?,3
She will have been surprising him on his birthday.,3
You all will have been sleeping when I will come for the second round.,3
They will have been studying seriously for 2  hours.,3
Will they have been displaying a movie tonight?,3
I will cry when it’s time to leave.,3
I shall write an essay.,3
Aileen will complete her first novel this October.,3
Ben will sing a good song.,3
They will bake the pies.,3
I shall work hard to obtain good marks.,3
We will arrive in the evening.,3
My father will go to California.,3
She lands at nine.,3
He will become a good person.,3
Patrick completes his event setup at five.,3
We shall go to school along.,3
The band finishes their repertoire at eight.,3
you will remember our whole life.,3
Their door opens after eleven.,3
John will play football tomorrow.,3
School starts at seven.,3
My mother will cook delicious food.,3
I am going to win this race.,3
Dona will buy a new mobile next month.,3
I am going to move to Europe.,3
They will sleep in the afternoon.,3
He is going to run home.,3
"Next year, I will live in London.",3
We are going to bake a pie.,3
I will return her book.,3
We are going to sail to the shoreline.,3
We will win the match today.,3
Kanye West will not run for president.,3
"Tomorrow, We shall go to the barber.",3
We are not winning this race.,3
They will stay outside.,3
She will not work for free.,3
She will come to the party.,3
They are not giving away any more prizes.,3
Lots of people will go on vacation this summer.,3
"Next year, I will buy a new car.",3
We will not say goodbye.,3
"Today, I will watch a movie.",3
It will stay in the outside.,3
We will probably win.,3
I will write articles on different topics.,3
You will go to France tomorrow.,3
Robert will read various kinds of books.,3
When will you travel?,3
April will prefer coffee to tea.,3
I will stay at home at the weekend.,3
We will go shopping in that market this Monday.,3
You will go to France tomorrow.,3
We will go to enjoy the musical drama.,3
I will play after breakfast.,3
Susan will not go to Germany.,3
What we achieve inwardly will change outer reality. ,3
"Always do your best. What you plant now, you will harvest later. ",3
Logic will get you from A to B. Imagination will take you everywhere. ,3
"Women and cats will do as they please, and men and dogs should relax and get used to the idea. ",3
"In the end, we will remember not the words of our enemies, but the silence of our friends. ",3
"Choose a job you love, and you will never have to work a day in your life.",3
Happiness is your dentist telling you it won't hurt and then having him catch his hand in the drill. ,3
I won't be a rock star. I will be a legend. ,3
I will be playing for an hour.,3
Will I be spending too much money if I buy the newer model?,3
He will be fighting his way to the boxing championship.,3
Always be nice to those younger than you because they are the ones who will be writing about you.,3
"In September, we will be enjoying all the fruit we planted last March.",3
Those who are laughing now will be crying later.,3
Soon I will be doing what I love again.,3
She'll be coming around the mountain when she comes.,3
She'll be riding six white horses when she comes.,3
"In my case, there's no revolving door. I won't be going back to government. ",3
I will have played by breakfast.,3
"By September, Jenny will have taken over that role.",3
Will you have graduated by this time next year?,3
"I hope that, when I leave this planet, I will have touched a few people in a positive way. ",3
The rain will not have stopped before the competition starts.,3
You won't have sold a single car by tomorrow if you stay here.,3
I will have been playing for 2 hours by breakfast.,3
"By the time the boat arrives, they will have been living without proper food for two weeks.",3
Shops that will have been running for three or two years by then will have to close down.,3
They will have been driving for ten hours by the time they arrive in Scotland.,3
"If it rains again tomorrow, then it will have been raining for three days.",3
He will be agitated when he arrives because he will have been working for ten hours.,3
"When you are promoted next year, how long will you have been working on the factory floor?",3
You will not have been waiting for over an hour when the taxi arrives. That's not true.,3
I will cry when it’s time to leave.,3
I shall write an essay.,3
Aileen will complete her first novel this October.,3
Ben will sing a good song.,3
They will bake the pies.,3
I shall work hard to obtain good marks.,3
We will arrive in the evening.,3
My father will go to California.,3
She lands at nine.,3
He will become a good person.,3
Patrick completes his event setup at five.,3
We shall go to school along.,3
The band finishes their repertoire at eight.,3
you will remember our whole life.,3
Their door opens after eleven.,3
John will play football tomorrow.,3
School starts at seven.,3
My mother will cook delicious food.,3
I am going to win this race.,3
Dona will buy a new mobile next month.,3
I am going to move to Europe.,3
They will sleep in the afternoon.,3
He is going to run home.,3
"Next year, I will live in London.",3
We are going to bake a pie.,3
I will return her book.,3
We are going to sail to the shoreline.,3
We will win the match today.,3
Kanye West will not run for president.,3
"Tomorrow, We shall go to the barber.",3
We are not winning this race.,3
They will stay outside.,3
She will not work for free.,3
She will come to the party.,3
They are not giving away any more prizes.,3
Lots of people will go on vacation this summer.,3
"Next year, I will buy a new car.",3
We will not say goodbye.,3
"Today, I will watch a movie.",3
It will stay in the outside.,3
We will probably win.,3
I will write articles on different topics.,3
You will go to France tomorrow.,3
Robert will read various kinds of books.,3
When will you travel?,3
April will prefer coffee to tea.,3
I will stay at home at the weekend.,3
We will go shopping in that market this Monday.,3
You will go to France tomorrow.,3
We will go to enjoy the musical drama.,3
We will write English lessons in the evening.,3
My dad will take us on a picnic.,3
You won’t eat fish at night.,3
Will you watch English movies on Sunday?,3
John will score full marks in English.,3
She will cook dinner for her family.,3
We will bathe with cold water in the morning.,3
She will play badminton last night.,3
I will play with my cat tomorrow.,3
They will play video games on a Monday.,3
I will go to the shopping mall in the evening.,3
She will enhance her speaking skills.,3
He will clean his living room on Monday.,3
My teacher will teach English lessons.,3
A dog will eat all the bones at night.,3
I will handle all situations wisely.,3
Will she come to your house tomorrow?,3
They will apply coconut oil to the hair.,3
He will write a letter to his brother.,3
It will take five minutes to prepare a pancake.,3
I will be buying new clothes.,3
We will be thinking about my life.,3
He will be becoming a good actor.,3
She will be writing an essay.,3
They will be wearing clothes.,3
You will be waking in the morning.,3
My mom will be preparing dinner.,3
I will be going to a medical college.,3
He won’t be swimming in cold water.,3
She won’t be driving a car.,3
He will be swimming in the pool.,3
We will be playing with kids.,3
David will be climbing on the tree.,3
Mariya will be singing in front of the teacher.,3
Who will be talking with her friend?,3
Will he be drinking water?,3
Will the teacher be teaching in the classroom?,3
The phone will be ranging on the room,3
She will be losing all hope.,3
They will be buying a new car.,3
She will have sung a song before you come.,3
They will have written a letter before I come here.,3
He will have completed all her assignments by tomorrow.,3
We will have gone to the market before you come.,3
We will have done all the homework at night.,3
I will have reached the office at 9 o’clock.,3
The office will have closed by evening.,3
We will have reached home by 6 pm tonight.,3
My father will have bought a new car in three months.,3
He will have lost weight over five months.,3
He will not have done it by this evening.,3
The plane will have landed by that time.,3
They will have arrived at the hotel by now.,3
Liam will have eaten the food at noon.,3
He will have passed the exam by the end of this year.,3
She will have married before you come.,3
John will have gone to London tonight.,3
I will have finished this project by next week.,3
He will have completed his project by Monday.,3
They will have reached home by now.,3
He will have been going to the office for four years.,3
She will have been finishing the homework since morning.,3
They will have been going to the library since January.,3
I will have been reading books for an hour.,3
This Sunday I will have been playing basketball for three years.,3
David will have been driving the car since morning.,3
It will have been growing the trees for five years.,3
My mom will have been waking at 4 o’clock for ten years,3
They will not have been going to the gym for a month.,3
Emma will have been washing her clothes for two hours.,3
My friend will have been learning Spanish for a year.,3
She will have been studying for two weeks.,3
I will have been taking medicine for three weeks.,3
We will have been bathing in the river since Sunday.,3
Emily will have been taking extra classes after school.,3
The tree will have been giving mangoes for three months.,3
Some children will have been having breakfast since Monday.,3
We will have been drinking milk for a month.,3
Thomas will have been rising early for three months.,3
We will have been studying for three months.,3
I will live here all my life.,3
They will use this money for their holiday in Turkey.,3
She will buy a new computer.,3
I will not have time to do everything.,3
We will read this book at school next week.,3
They will be angry if you don’t help us with this task.,3
They will send an email to their parents.,3
I will see her next week.,3
She will be very happy if you help her with this work.,3
They will be very sad if you don’t come to their party.,3
She will go to the gym every day.,3
I will call you tomorrow.,3
What will you do if you won a million pounds?,3
She will be very angry if she finds out that you were at her house.,3
I will work here from 9 till 5 every day.,3
What will your husband do if he won a million pounds?,3
Where will you go if you win a million pounds?,3
She won’t be able to come with us if she wins a million pounds.,3
They will be very happy if they win the lottery.,3
I will cook you a lovely meal if you win the lottery.,3
What will you do if your husband wins the lottery?,3
She won’t be able to come with us if she is ill.,3
I will help you if I can.,3
What will your mother do if she was ill?,3
We won’t be able to come with you if we are ill.,3
They will be very angry if he arrives late.,3
They will be very happy if he arrives on time.,3
I will cook you a lovely meal if you arrive on time.,3
What will your mother do if she arrived late?,3
What will your husband do if he arrived on time?,3
What will you do if he arrived on time?,3
He won’t be able to come with us if he arrives late.,3
I won’t be able to help you if I arrive late.,3
He won’t be able to help you if he arrives on time.,3
You willn’t be able to come with us if you arrived late.,3
We won’t be able to come with you if we arrive late.,3
We will be very disappointed if we arrive late.,3
She will be very disappointed if she arrives late.,3
I will be very disappointed if I arrive late.,3
They will be very disappointed if they arrive on time.,3
She will be very disappointed if she arrived on time.,3
You will be very disappointed if you arrived on time.,3
We will see a film.,3
The child will understand the lesson.,3
They will not come to my party.,3
I will go for a walk in the park.,3
You will not go out without saying goodbye.,3
She will not come to school by car.,3
They will understand the lesson.,3
You will not go to the cinema without your parents.,3
We will go to a restaurant.,3
I will not go out without saying goodbye.,3
They will not go to the cinema.,3
I will have a good time in the bar.,3
The child will understand the lesson.,3
We will see a film.,3
He will enjoy himself in the bar.,3
You will not go to school by car.,3
I will not go out without saying goodbye.,3
She will not come to the party.,3
You will not go out without saying goodbye.,3
He will enjoy himself in the bar.,3
We will go to a restaurant.,3
She will not come to the party.,3
We will not go out without saying goodbye.,3
You will not understand the lesson.,3
They will understand the lesson.,3
I will go to a restaurant.,3
He will enjoy himself in the bar.,3
We will not go out without saying goodbye.,3
They will not go to the cinema.,3
She will not come to the party.,3
She will come to visit me.,3
He will enjoy himself in the bar.,3
We will see this movie again.,3
They will buy a new house.,3
She will make her own dress.,3
I will tell him the truth.,3
You will call me up tomorrow.,3
I will not go to the movies this week.,3
He will see us at the movies tomorrow.,3
They will get a cat next month.,3
We will see you then.,3
She will leave for Canada tomorrow.,3
I will not be here at noon.,3
He will take a long vacation this summer.,3
I will finish my homework tonight.,3
They will come to see me this week.,3
She will grow old and die one day.,3
I will take the bus tomorrow.,3
He will get married next year.,3
You will have a nice time at the party.,3
We will go to the theater.,3
I will not do my homework tonight.,3
He will be here at noon.,3
She will tell you the truth tomorrow.,3
They will not come to see me this week.,3
I will stop smoking next month.,3
I will get up early tomorrow.,3
You will not be here at noon.,3
He will not come to see me this week.,3
I will call you tonight.,3
You will be here at noon.,3
They will not stop smoking next month.,3
I will come to see you this week.,3
He will not tell you the truth tomorrow.,3
She will stop smoking next month.,3
I will do my homework tonight.,3
I will do my homework tonight.,3
She will not tell you the truth tomorrow.,3
They will stop smoking next month.,3
He will not come to see me this week.,3
I will call you tonight.,3
You will be here at noon.,3
They will not stop smoking next month.,3
I will come to see you this week.,3
He will not tell you the truth tomorrow.,3
She will stop smoking next month.,3
I will do my homework tonight.,3
She will not tell you the truth tomorrow.,3
They will stop smoking next month.,3
He will not come to see me this week.,3
I will call you tonight.,3
You will be here at noon.,3
They will not stop smoking next month.,3
I will come to see you this week.,3
He will not tell you the truth tomorrow.,3
She will stop smoking next month.,3
I will do my homework tonight.,3
She will not tell you the truth tomorrow.,3
They will stop smoking next month.,3
He will not come to see me this week.,3
We won’t go to the theater.,3
I won’t go to the cemetery.,3
We are going to eat.,3
I will stay at home at the weekend.,3
He will call me tomorrow.,3
We will play basketball.,3
Mark will fix my car.,3
I am going to cook tonight.,3
It won’t be very cold next week.,3
He will not drink tea.,3
Will it hurt?,3
I will make a tea.,3
They will win the game.,3
She won’t watch the football match.,3
You won’t be fired.,3
Dan’s going to take the order over to the customer.,3
Don’t do something you’ll regret.,3
They will go to the school.,3
It will stay in the outside.,3
I will ask him about it tomorrow.,3
I don’t think Alex will hurt Jessica.,3
She is going to prepare the emails after the meal.,3
"Chris dropped his wallet, I will get it and give it to him.",3
Will you come with me on a city tour of Paris tomorrow?,3
Will Jane be able to get to the party in time?,3
Are you going to buy a new house?,3
Which country will you go to for a summer vacation this year?,3
Will you come to school tomorrow?,3
Shall we go on vacation next week?,3
The weather will be warmer next week.,3
I have an exam tomorrow.,3
The sun will rise at 7.,3
He will always support her.,3
I’m going to buy a new computer tonight.,3
"Don’t wait, it won’t come.",3
Markets will be closed tomorrow.,3
I will read the book when I go to bed.,3
They will be here in an hour.,3
I’m going to see you.,3
What will you drink at breakfast?,3
Time will tell.,3
I will ask a question.,3
Will you come to us?,3
I will miss you so much.,3
I will come with you.,3
Will you help them?,3
I’ll be in the bar drinking beer.,3
I will not do this job.,3
Don’t worry! We won’t leave you alone when you arrive here.,3
It is not going to eat banana.,3
I will clean the house tomorrow.,3
The cat won’t eat cat food.,3
I will not go out this evening.,3
I hope she will join the course.,3
Robots will cure the patients.,3
You dropped your purse. I’ll get it.,3
Will you help me?,3
We will wash my dad’s car tomorrow.,3
He will come to school late tomorrow.,3
The teacher will give a lot of homework tomorrow.,3
We’re going to play a football match tomorrow.,3
Will you come to school tomorrow?,3
They will buy a new car.,3
We won’t be able to eat all this.,3
I will pass the exam.,3
Tell Tom that I’ll call him back.,3
That won’t be any problem at all.,3
The chances are that he will win.,3
I will come here.,3
I will see him when he come.,3
"It will rain, I can understand it from the dark clouds.",3
She’ll tell you something.,3
I will not see you if I will not come.,3
She won’t write to you.,3
You will not be there if you do not remember that you should be.,3
"How about you, won’t you tell me?",3
You will win the exam.,3
I will see you later.,3
She will help him tomorrow.,3
He will be there soon.,3
He will not call us.,3
I will not stay this hotel.,3
Your mother will love you forever.,3
Will you wait for me?,3
Will she do it again?,3
We will see better days.,3
I’ll tell you this one more time.,3
I’m sure Alex will like the movie.,3
"It won’t be our problem, will it?",3
It won’t do any good to complain.,3
Maybe it won’t make a difference.,3
"Maybe one day, I’ll go to Boston.",3
Peace talks will begin next week.,3
She will leave the hospital soon.,3
"Since it’s important, I’ll do it.",3
Tell me what you think’ll happen.,3
The country air will do you good.,3
The pain will eventually go away.,3
George won’t be helping us tomorrow.,3
There won’t be any more problems.,3
We won’t go to the theater.,3
I won’t go to the cemetery.,3
We are going to eat.,3
I will stay at home at the weekend.,3
He will call me tomorrow.,3
We will play basketball.,3
Mark will fix my car.,3
I am going to cook tonight.,3
It won’t be very cold next week.,3
He will not drink tea.,3
Will it hurt?,3
I will make a tea.,3
They will win the game.,3
She won’t watch the football match.,3
You won’t be fired.,3
Dan’s going to take the order over to the customer.,3
Don’t do something you’ll regret.,3
They will go to the school.,3
It will stay in the outside.,3
I will ask him about it tomorrow.,3
I don’t think Alex will hurt Jessica.,3
She is going to prepare the emails after the meal.,3
"Chris dropped his wallet, I will get it and give it to him.",3
Will you come with me on a city tour of Paris tomorrow?,3
Will Jane be able to get to the party in time?,3
Are you going to buy a new house?,3
Which country will you go to for a summer vacation this year?,3
Will you come to school tomorrow?,3
Shall we go on vacation next week?,3
The weather will be warmer next week.,3
I have an exam tomorrow.,3
The sun will rise at 7.,3
He will always support her.,3
I’m going to buy a new computer tonight.,3
"Don’t wait, it won’t come.",3
Markets will be closed tomorrow.,3
I will read the book when I go to bed.,3
They will be here in an hour.,3
I’m going to see you.,3
What will you drink at breakfast?,3
Time will tell.,3
I will ask a question.,3
Will you come to us?,3
I will miss you so much.,3
I will come with you.,3
Will you help them?,3
I’ll be in the bar drinking beer.,3
I will not do this job.,3
Don’t worry! We won’t leave you alone when you arrive here.,3
It is not going to eat banana.,3
I will clean the house tomorrow.,3
The cat won’t eat cat food.,3
I will not go out this evening.,3
I hope she will join the course.,3
Robots will cure the patients.,3
You dropped your purse. I’ll get it.,3
Will you help me?,3
We will wash my dad’s car tomorrow.,3
He will come to school late tomorrow.,3
The teacher will give a lot of homework tomorrow.,3
We’re going to play a football match tomorrow.,3
Will you come to school tomorrow?,3
They will buy a new car.,3
We won’t be able to eat all this.,3
I will pass the exam.,3
Tell Tom that I’ll call him back.,3
That won’t be any problem at all.,3
The chances are that he will win.,3
I will come here.,3
I will see him when he come.,3
"It will rain, I can understand it from the dark clouds.",3
She’ll tell you something.,3
I will not see you if I will not come.,3
She won’t write to you.,3
You will not be there if you do not remember that you should be.,3
"How about you, won’t you tell me?",3
You will win the exam.,3
I will see you later.,3
She will help him tomorrow.,3
He will be there soon.,3
He will not call us.,3
I will not stay this hotel.,3
Your mother will love you forever.,3
Will you wait for me?,3
Will she do it again?,3
We will see better days.,3
I’ll tell you this one more time.,3
I’m sure Alex will like the movie.,3
"It won’t be our problem, will it?",3
It won’t do any good to complain.,3
Maybe it won’t make a difference.,3
"Maybe one day, I’ll go to Boston.",3
Peace talks will begin next week.,3
She will leave the hospital soon.,3
"Since it’s important, I’ll do it.",3
Tell me what you think’ll happen.,3
The country air will do you good.,3
The pain will eventually go away.,3
George won’t be helping us tomorrow.,3
There won’t be any more problems.,3
You children will be the future of this country.,3
We will paint our house next week.,3
You are going to cry.,3
They will write the letter to their best friend.,3
He will close the shop.,3
She will see her friend at the weekend.,3
I will read the newspaper when I go to bus station.,3
"Tomorrow, the sun will rise at 6:00 am.",3
They will be here in two hours.,3
He will help you tomorrow.,3
"I will see you tomorrow, please wait me.",3
They are going to dance.,3
I will go to London next week.,3
I will be twenty seven in April.,3
She won’t do the ironing.,3
Will it be windy tomorrow morning?,3
He will love her forever.,3
She will cry.,3
You will miss me in future.,3
They will come here tomorrow.,3
I will miss you when you move to another country.,3
Mark will fix my car.,3
I won’t go to the theater.,3
"Tomorrow, My father will apply for a new job.",3
We won’t go to the theater.,3
I won’t go to the cemetery.,3
We are going to eat.,3
"We think, We will be back on Sunday from holiday.",3
I will stay at home at the weekend.,3
He will call me tomorrow.,3
We will play basketball.,3
You’ll feel better with this orange juice.,3
I am afraid you won’t remember me.,3
He is going to jump.,3
You will go to France tomorrow.,3
He is going to sleep.,3
She will be a successful engineer in 3 years.,3
Will you come to the party?,3
When will you travel?,3
You can’t carry this luggage yourself. I will help you.,3
I am going to cook tonight.,3
It won’t be very cold next week.,3
Will it hurt?,3
I will make a tea.,3
She will meet with her best friends.,3
They will win the game.,3
She won’t watch the football match.,3
They will go to the school.,3
It will stay in the outside.,3
We will probably win.,3
We won’t go to the theater.,3
I won’t go to the cemetery.,3
We are going to eat.,3
I will stay at home at the weekend.,3
He will call me tomorrow.,3
We will play basketball.,3
Mark will fix my car.,3
I am going to cook tonight.,3
It won’t be very cold next week.,3
He will not drink tea.,3
Will it hurt?,3
I will make a tea.,3
They will win the game.,3
She won’t watch the football match.,3
You won’t be fired.,3
Dan’s going to take the order over to the customer.,3
Don’t do something you’ll regret.,3
They will go to the school.,3
It will stay in the outside.,3
I will ask him about it tomorrow.,3
I don’t think Alex will hurt Jessica.,3
She is going to prepare the emails after the meal.,3
"Chris dropped his wallet, I will get it and give it to him.",3
Will you come with me on a city tour of Paris tomorrow?,3
Will Jane be able to get to the party in time?,3
Are you going to buy a new house?,3
Which country will you go to for a summer vacation this year?,3
Will you come to school tomorrow?,3
Shall we go on vacation next week?,3
The weather will be warmer next week.,3
I have an exam tomorrow.,3
The sun will rise at 7.,3
He will always support her.,3
I’m going to buy a new computer tonight.,3
"Don’t wait, it won’t come.",3
Markets will be closed tomorrow.,3
I will read the book when I go to bed.,3
They will be here in an hour.,3
I’m going to see you.,3
What will you drink at breakfast?,3
Time will tell.,3
I will ask a question.,3
Will you come to us?,3
I will miss you so much.,3
I will come with you.,3
Will you help them?,3
I’ll be in the bar drinking beer.,3
I will not do this job.,3
Don’t worry! We won’t leave you alone when you arrive here.,3
It is not going to eat banana.,3
I doubt that he will not come to the party.,3
I think it will not snow tomorrow.,3
I’m sure she will not love the gift.,3
I hope they will not be happy together.,3
I bet he will not pass his exam.,3
It is certain that she will not finish the race.,3
It is unlikely that it will not rain tomorrow.,3
It is possible that he will not get the job.,3
We will not be there at 10:00 a.m.,3
she will definitely not be at the meeting.,3
It is doubtful that they will not arrive on time.,3
I’m afraid she will not be very disappointed.,3
We will have to wait and see.,3
I’m sure it will not be a success.,3
They will probably not come to the party.,3
I doubt that he will be able to do it.,3
It will certainly not be an interesting experience.,3
I’m sure she will not be happy with the results.,3
It is possible that they will not come.,3
I doubt that it will not be a good idea.,3
They will have been going to the library since Monday.,3
Will you have been going to the concert of the realistic songs before I come?,3
Robin will have been joining us at the meeting before you reach.,3
Next month I’ll have been studying Chinese for two years.,3
"On Thursday, I will have known you for a week.",3
The doctor will have been treating patients for three years.,3
He’ll be tired when he gets here. He’ll have been travelling all day.,3
You all will have been sleeping when I will come for the second round.,3
They will have been studying seriously for 2 hours.,3
How long will Jo have been working when he retires?,3
He will have been working in this factory since January.,3
He won’t have been studying long enough to qualify.,3
She will have been teaching students for seven months.,3
I will have read forty-five books by Christmas.,3
You will be going to cuddle and watch movies with her tonight.,3
I will go to the cinema tonight.,3
He will play tennis tomorrow.,3
She will be happy with her exam results.,3
They will take the bus to the South next week.,3
The President will not be re-elected at the next election.,3
I think it will rain later so take an umbrella with you.,3
I think you will find the movie interesting.,3
I'll call a taxi for you.,3
I think we'll go right now. ,3
"Which one? Um, I will have the chicken sandwich please.You look tired. I'll finish the dishes for you.",3
I will do my best to help you.,3
If you say anything I will kill you!,3
I will have it ready by tomorrow.,3
I'll drive you to work if you want.,3
"Don't worry, I won't tell anyone. ",3
My daughter will fall asleep as soon as she is put into bed.,3
He will give up if he starts losing. He always does that.,3
I told him to clean his room but he won't do it.,3
